date,time,sender,content
3/19/24,02:12,Taha,<Media omitted>
3/19/24,02:13,Taha,<Media omitted>
3/19/24,02:13,Taha,<Media omitted>
3/20/24,01:27,Taha,<Media omitted>
3/20/24,01:27,Taha,<Media omitted>
3/20/24,01:27,Taha,<Media omitted>
3/20/24,01:27,Taha,<Media omitted>
3/20/24,02:38,Taha,Gg
3/20/24,02:39,Taha,<Media omitted>
3/20/24,02:39,Taha,<Media omitted>
3/20/24,02:39,Taha,<Media omitted>
3/20/24,02:39,Taha,<Media omitted>
3/20/24,02:39,Taha,<Media omitted>
3/20/24,02:39,Taha,<Media omitted>
